	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Russian	Spanish	Swedish
PERSON		ˈpɛrson	mɛ̀nɪstʃ	'pɜ:sən	mẽːskə	mɛnʃ	ɪnsɑn	tʃɪlɐ'vʲɛk	'ombɾe	pæˈʂu:n
PLAY	ˈlɑjə	'spelə(n)	læ̀ːkɑ	pleɪ	'buatsjə	'ʃpi:lən	kʰelnɑ	ɪ'gɾɑ̈tʲ	χu'ɣaɾ	ˈlè:ka
PULL	ˈd̥ʁɑːwə	'trɛkə(n)	drɔ̀gɔ	pʊl	'trɛkə	't͜si:ən	kʰĩʧnɑ	tsʲɪˈnutsʲ	xa'laɾ	drɑ:
PUSH	ˈsɡ̊yːðə	'dywə(n)	ˈrɛ̀kɔ	pʊʃ	'trjo.uwə		ɖʱəkelnɑ	tɐɫ'kɑ̈tʲ	empu'χaɾ	
RAIN	ʁɑjˀn	'reɣə	rɑ́jŋɛn	reɪn	rain		ʋəɾʃɑ	dɔʂtsʲ, dɔʃː	'ʎuβja	rɛŋn
RED	ʁøðˀ	rot	roːð	rɛd	rɪ.ə(t)	ro:t	lɑl	'kɾɑ̈snɘj	'roχo	røːd
RIGHT	ˈhʌjʁʌ	rɛχts, 'rɛχtər	ýːœgɛr	raɪt	'rjoxtər	rɛçt	d̪ɑyɑ̃	'pɾɑ̈vɘj	de'ɾeʧo	ˈhø:gər
RIVER	ɛlˀv	ri'vir	œ̀ːvɛ	'rɪvə	rə'vi.ər		nədi	rʲɪ'kɑ̈	'rio	oː
ROOT	ʁoˀð	ˈwɔrtəl	rʉːət	ru:t	ˈwatəl	'vʊt͜sl̩	mul	'kɔrʲɪnʲ	raˈiθ	ru:t
ROTTEN	ˈʁʌðən	vər'sletə(n)	ˈfʉə̀skʉn	'rɒtən	rɔt	faŭl	səɽɑ-gəlɑ	gnʲɪ'ɫɔj	po'ðɾiðo	ˈmɵ̀rkən
ROUND	ʁɔnˀ	rɔnt		raʊnd	run	rʊnt	ɡol	'kɾugɫɘj	re'ðon̪do	rɵnd
RUN					dra:və		d̪ɔɽnɑ	bʲɪˈʐɑ̈tsʲ	ko'reɾ	
SALT	salˀd̥ʰ	zɑut	solt	sɔ:lt	sɔ:t	zalt͜s	nəmək	sɔlʲ	sal	salt
SAND	sanˀ	zɑnt	sɑnd	sænd	sɔ:n	zant	bɑlu	pʲɪ'sɔk	a'ɾena	sand
SAY	si:	'zɛɣə(n)	ˈsɑ̀jɑ	seɪ	'sɪzə, 'se:zə	'za:gn̩	bolnɑ	skɐ'zɑ̈tʲ	de'θiɾ	ˈsɛ̀jːa
SCRATCH	ˈg̥ʰʁɑsə	'krɑbələ(n), 'krɑbə(n)	klɔː	skrætʃ	'klɑ.uwə	'krat͜sn̩	kʰʊɾəʧnɑ	tʃɪ'sɑ̈tsʲ	ras'kaɾ	
SEA	søˀ	ze		si:	seː	ze:	səmʊd̪ɾ	'mɔrʲɪ	maɾ	hɑːv
SEE	seˀ	zin	sjõː	si:	sjɛn	'ze:ən	d̪ekʰnɑ	'vʲidzʲɪtsʲ	beɾ	se:
SEED	fʁœˀ	zat		si:d	si.ə(t)		biʤ	ˈsʲemʲɐ	se'miʎa	frøː
SEW	syˀ	'najə(n)	ˈsœ̀ːmɑ	səʊ	na:jə	'nɛ:ən	sinɑ	ʂɨtsʲ	ko'seɾ	sy:
SHADOW					ska:t		ʧʰɑjɑ	tsʲenʲ	'sombɾa	
SHARP	sg̥ʰɑ:b̥	sχɛrp	wɑsː	ʃɑ:p	skɛrp	ʃarf	t̪ez	'ɔstɾɘj	afi'laðo	skarp
SHORT	g̥ʰɒ:d̥ʰ	kɔrt	stʉtː	ʃɔ:t	kwat	kʊrt͜s	ʧʰoʈɑ	kɐ'ɾɔtkʲɪj	'koɾto	kɔrt
SING	ˈsøŋə	'zɪŋə(n)	ˈkwɛ̀ðɔ	sɪŋ	'sjoŋə	'zɪŋən	gɑnɑ	pʲetsʲ	kan̪'taɾ	ˈɧɵ̀ŋːa
SIT	ˈseðə	'zɪtə(n)	ˈsɪ̀t͡ʃːɑ	sɪt	'sɪtə	'sɪt͜sn̩	bɛʈʰnɑ	sʲɪ'dzʲetsʲ	esˌtarsen̪'taðo	ˈsìtːa
SKIN	huðˀ	hœyt	stʃɪnː	skɪn	hu:t	haŭt	kʰɑl	ˈkɔʐɐ	pjel	ɧɪnː
SKY	ˈheməl	lʏχt	ˈɪ̀mɪl	skaɪ	loft	'hɪml̩	ɑkɑʃ	'nʲɛbɐ	ˈθjelo	ɧyː
SLEEP	ˈsɒwə	'slapə(n)	ˈsɔ̀vɔ	sli:p	'sli.əpə	ʃla:fn̩	sonɑ	spɑ̈tsʲ	doɾ'miɾ	ˈsò:va
SMALL	smɔˀ	klɛin	lɪ̀ːtn̩	smɔ:l	lits	klaĭn	ʧʰoʈɑ	'mɑ̈lʲɪnʲkʲɪj	pe'keɲo	ˈlìːtən
SMELL	ˈlɔg̥d̥ə	'rœykə(n)	ˈlʉ̀ptɑ	smɛl	'rukə	'ri:çn̩	sũgʱnɑ	'tʃustvəvətsʲ	o'leɾ	ˈlɵ̀kta
SMOKE	ʁʌjˀ	rok	ræːk	sməʊk	re:k	raŭx	d̪ʱʊɑ̃	dɨm	'umo	rø:k
SMOOTH	g̥lad̥ʰ	ɣəˈlɛik, ɣlɑt	l̥lɪ:ɛt	smu:ð	glɛ:t	glat	ʧɪknɑ	'gɫɑ̈tkʲɪj	ˈliso	glatː
SNAKE	snoˀ	slɑŋ	ʉərm	sneɪk	'slaŋ(ə)	'ʃlaŋə	sɑ̃p	zmʲɪˈjɑ̈		ʊrm
SNOW	sneˀ	snew	snɪʉ̃ə̃	snəʊ	sni.ə	ʃne:	bəɾf	sʲnʲɛk	'ɲjeβe	snøː
SPIT	ˈsb̥ød̥ə	'spywə(n)	ˈspʉ̀tːɑ	spɪt	'spø.ijə		t̪ʰuknɑ	plʲɪ'vɑ̈tsʲ	esku'piɾ	ˈspɔ̀tːa
STAND	sd̥ɔˀ	stan	ˈstɑ̀ndɑ	stænd	stɪ.ən	'ʃte:ən	kʰəɽɑ ɦonɑ	stɐ'jɑ̈tsʲ	esˌtaɾðeˈpje	sto:
STAR	ˈsd̥jæɐ̯nə	stɛr	ˈstɪ̀ɛnːɑ	stɑ:	stjɛ:r	ʃtɛrn	t̪ɑɾɑ	zvʲɪz'dɑ̈	es'tɾeja	ˈɧæ̀ːɳa
STICK	ɡ̊ʰɛb	stɔk	kwɪst	stɪk	stɔ:k, stɔk	ʃtɔk	lɑʈʰi	'pɑ̈ɫkɐ	'palo	ˈpɪ̀nːə
STONE	sd̥ʰen	sten	stɪɛ	stəʊn	sti.ən	ʃtaĭn	pət̪t̪ʰəɾ	'kɑ̈mʲɪnʲ	'pjeðɾa	ste:n
STRAIGHT		rɛχt	rɛtː; rɑːk	streɪt	rjoxt	gə'ra:də	sɪd̪ʱɑ	pɾʲɪ'mɔj	'rekto	rɑ:k
SUN	sol	zɔn	sʉəl	sʌn	sɪnə	'zɔnə	suɾəʤ	'sɔntsɘ	sol	suːl
SWEET					swi.ət		miʈʰɑ	ˈsɫɑ̈tkʲɪj	'dulθe	
SWELL	ˈsvulmə	'zwɛlə(n)	ˈswɛ̀lːɑ	swɛl	ɪs 'sʋolən	'ʃvɛlən	pʰulnɑ	'puxnʊtsʲ	in'ʧaɾse	ˈsvɛ̀lːa
SWIM	ˈsvœmə	'zwɛmə(n)	ˈsɪ̀mːɑ	swɪm	'svɪmə	'ʃvɪmən	t̪ɛrnɑ	pɫɨtsʲ	na'ðaɾ	ˈsɪ̀mːa
TAIL	ˈsd̥jæɐ̠ˀd	start	ˈɔ̀lɔ	teɪl	støt	ʃvant͜s	pũʧʰ	xvɔst		svans
TAKE					'nɪmə		lenɑ	ˈvzʲatsʲ	je'βaɾ	
THAT	dɛn, de	di, dɑt, 'ɣenə	ɛːðˈdɑːr; ɑnˈdɑːr; õːˈdɑːr	ðæt	dɔt		ʋo	tɔt	'ese	
THERE	dɛɐ̯	dar, ɑl'dar	dɑːr	ðɛə	dɛ:r		ʋəɦɑ̃	tɑ̈m		dæːr
THEY	di	zɛi	dɪɛːr	ðɛɪ	sɛ.ɪ	zi:	ʋe	ɐ'nʲi	'ejos	dɔmː
THICK	d̥ʰyg̥ʰ	dɪk		θɪk	dɪk	dɪk	moʈɑ	'tɔɫstɘj		ɕɔkː
THIGH					bɪl		ʤɑ̃gʱ	bʲɪˈdɾɔ	ˈmuzlo	
THIN	d̥ʰønˀ	dʏn		θɪn	tɪn	dʏn	pət̪lɑ	'tɔnkʲɪj	del'ɣaðo	tɵnː
